src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
49.142.91.110,172.31.41.155,10389,5000,6,2022-12-11 10:30:31,3755771.6369628906,217.53186268286217,2.3963118288197793,1.3312843493443218,1.0650274794754573,5,4,545,272,233.0,66.0,109.0,62.465990746965666,74.0,66.0,68.0,3.4641016151377544,233,66,90.77777777777777,50.87408809508209,2588.1728395061727,100,80,20,3,469471.4546203613,3730557.918548584,7.3909759521484375,1232585.9012765472,3755732.297897339,3730565.309524536,250.33950805664062,938933.0744743347,1611757.3282963866,3755731.8210601807,3730597.2576141357,12497.186660766602,1251910.6070200603,1752696.140006072,0,0,0,0,1,0,0,0,0,0,0,0.8,90.77777777777777,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,68.0,0,5,4,545,272
49.142.91.110,172.31.41.155,10399,5000,6,2022-12-11 10:30:31,3698189.9738311768,219.8372733020431,2.433622951683134,1.3520127509350743,1.0816102007480595,5,4,541,272,234.0,66.0,108.2,63.25946569486656,74.0,66.0,68.0,3.4641016151377544,234,66,90.33333333333333,51.259687431309565,2627.555555555556,100,80,20,3,462273.7467288971,3675130.605697632,3.337860107421875,1214355.410778673,3698139.190673828,3675133.9435577393,28.371810913085938,924534.797668457,1588066.0534184538,3698179.7218322754,3675181.3888549805,11319.160461425781,1232726.5739440918,1727076.3686189845,0,0,0,0,1,0,0,0,0,0,0,0.8,90.33333333333333,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.2,68.0,0,5,4,541,272
49.142.91.110,172.31.41.155,10409,5000,6,2022-12-11 10:30:31,24905.681610107422,26098.46259883977,281.06036644904367,160.60592368516782,120.45444276387586,4,3,444,206,218.0,66.0,111.0,62.185207244167,74.0,66.0,68.66666666666667,3.7712361663282534,218,66,92.85714285714286,51.5237215033136,2654.6938775510203,80,60,20,2,4150.946935017903,12764.453887939453,0.0,5859.215521234851,24899.24430847168,12775.182723999023,0.0,8299.748102823893,5874.825025044356,24894.95277404785,12787.580490112305,12107.372283935547,12447.476387023926,340.1041030883789,0,0,0,0,1,0,0,0,0,0,0,0.75,92.85714285714286,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,68.66666666666667,0,4,3,444,206
49.142.91.110,172.31.41.155,10411,5000,6,2022-12-11 10:30:31,23858.308792114258,28250.116379698007,293.39883480398527,167.65647703084872,125.74235777313653,4,3,468,206,241.0,66.0,117.0,71.98263679527167,74.0,66.0,68.66666666666667,3.7712361663282534,241,66,96.28571428571429,59.490009451081754,3539.061224489796,80,60,20,2,3976.3847986857095,11909.723281860352,0.0,5594.831275960553,23854.732513427734,11950.492858886719,0.0,7951.577504475911,5622.646082109596,23817.53921508789,11946.439743041992,11871.099472045898,11908.769607543945,37.670135498046875,0,0,0,0,1,0,0,0,0,0,0,0.75,96.28571428571429,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,68.66666666666667,0,4,3,468,206
49.142.91.110,172.31.41.155,10413,5000,6,2022-12-11 10:30:31,23493.051528930664,26135.38727584562,297.960441255569,170.26310928889654,127.69733196667242,4,3,408,206,181.0,66.0,102.0,46.22228899567826,74.0,66.0,68.66666666666667,3.7712361663282534,181,66,87.71428571428571,38.71771202550321,1499.061224489796,80,60,20,2,3915.508588155111,11852.502822875977,0.0,5521.602663320682,23484.230041503906,11868.715286254883,0.0,7828.076680501302,5536.251199387641,23476.839065551758,11873.483657836914,11603.355407714844,11738.419532775879,135.06412506103516,0,0,0,0,1,0,0,0,0,0,0,0.75,87.71428571428571,64240,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,68.66666666666667,0,4,3,408,206
49.142.91.110,172.31.41.155,10417,5000,6,2022-12-11 10:30:31,25378.942489624023,25848.200738395633,275.81921519629486,157.6109801121685,118.20823508412637,4,3,450,206,223.0,66.0,112.5,64.23589339302443,74.0,66.0,68.66666666666667,3.7712361663282534,223,66,93.71428571428571,53.23992670842407,2834.489795918367,80,60,20,2,4229.823748270671,12862.205505371094,5.9604644775390625,5959.472664993256,25371.789932250977,12868.165969848633,42.438507080078125,8457.263310750326,5952.498950981235,25367.73681640625,12869.35806274414,12498.37875366211,12683.868408203125,185.48965454101562,0,0,0,0,1,0,0,0,0,0,0,0.75,93.71428571428571,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,68.66666666666667,0,4,3,450,206
49.142.91.110,172.31.41.155,10421,5000,6,2022-12-11 10:30:31,22865.05699157715,28602.596540254217,306.14399966632953,174.93942838075972,131.20457128556978,4,3,448,206,222.0,66.0,112.0,63.90618123468183,74.0,66.0,68.66666666666667,3.7712361663282534,222,66,93.42857142857143,52.91194070706304,2799.6734693877547,80,60,20,2,3810.842831929525,11604.30908203125,0.0,5377.81865856121,22856.473922729492,11615.03791809082,0.0,7618.824640909831,5389.481192046527,22854.328155517578,11620.759963989258,11233.56819152832,11427.164077758789,193.59588623046875,0,0,0,0,1,0,0,0,0,0,0,0.75,93.42857142857143,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,68.66666666666667,0,4,3,448,206
49.142.91.110,172.31.41.155,10423,5000,6,2022-12-11 10:30:31,23001.19400024414,28694.162572299272,304.332027281962,173.90401558969256,130.42801169226942,4,3,454,206,227.0,66.0,113.5,65.95642500924379,74.0,66.0,68.66666666666667,3.7712361663282534,227,66,94.28571428571429,54.627869092914956,2984.204081632653,80,60,20,2,3833.5323333740234,11668.682098388672,0.0,5400.176721954477,22994.518280029297,11711.12060546875,0.0,7664.839426676433,5422.672115231032,22986.650466918945,11675.357818603516,11311.29264831543,11493.325233459473,182.03258514404297,0,0,0,0,1,0,0,0,0,0,0,0.75,94.28571428571429,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,68.66666666666667,0,4,3,454,206
49.142.91.110,172.31.41.155,10431,5000,6,2022-12-11 10:30:32,23202.65769958496,28574.31284743986,301.68957757477983,172.39404432844563,129.29553324633423,4,3,457,206,230.0,66.0,114.25,67.24721183811266,74.0,66.0,68.66666666666667,3.7712361663282534,230,66,94.71428571428571,55.66921253700106,3099.0612244897957,80,60,20,2,3867.1096165974936,11681.795120239258,0.0,5455.570956672966,23195.743560791016,11692.523956298828,0.0,7731.914520263672,5467.83538193445,23191.92886352539,11702.775955200195,11489.152908325195,11595.964431762695,106.8115234375,0,0,0,0,1,0,0,0,0,0,0,0.75,94.71428571428571,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.25,68.66666666666667,0,4,3,457,206
49.142.91.110,172.31.41.155,10439,5000,6,2022-12-11 10:30:32,24799.823760986328,26653.415216597128,282.26007037243556,161.29146878424888,120.96860158818666,4,3,455,206,228.0,66.0,113.75,66.38665151971442,74.0,66.0,68.66666666666667,3.7712361663282534,228,66,94.42857142857143,54.974947912291675,3022.244897959183,80,60,20,2,4133.303960164388,12374.8779296875,8.106231689453125,5769.284372822715,24791.717529296875,12387.514114379883,185.48965454101562,8263.905843098959,5712.71852836833,24789.33334350586,12406.349182128906,12382.984161376953,12394.66667175293,11.682510375976562,0,0,0,0,1,0,0,0,0,0,0,0.75,94.42857142857143,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.75,68.66666666666667,0,4,3,455,206
