src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
49.142.91.110,172.31.41.155,8982,5000,6,2022-12-11 10:25:48,25397.062301635742,17285.463759000402,157.49853083371667,118.1238981252875,39.37463270842917,3,1,373,66,233.0,66.0,124.33333333333333,76.9083148228388,66.0,66.0,66.0,0.0,233,66,109.75,71.23333138355947,5074.1875,60,20,20,1,8465.68743387858,12756.586074829102,7.3909759521484375,5981.131294385075,25389.671325683594,12756.586074829102,12633.085250854492,12694.835662841797,61.75041198730469,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,109.75,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.33333333333333,66.0,0,3,1,373,66
49.142.91.110,172.31.41.155,8984,5000,6,2022-12-11 10:25:48,22.172927856445312,9831809.376344087,135300.12903225806,90200.08602150538,45100.04301075269,2,1,152,66,86.0,66.0,76.0,10.0,66.0,66.0,66.0,0.0,86,66,72.66666666666667,9.428090415820634,88.8888888888889,40,20,20,1,11.086463928222656,22.172927856445312,0.0,11.086463928222656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,72.66666666666667,502,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,66.0,0,2,1,152,66
49.142.91.110,172.31.41.155,8990,5000,6,2022-12-11 10:25:48,23045.063018798828,15664.960417140846,130.1797264582342,86.78648430548945,43.393242152744726,2,1,295,66,221.0,74.0,147.5,73.5,66.0,66.0,66.0,0.0,221,66,120.33333333333333,71.25696847014723,5077.555555555556,40,20,20,1,11522.531509399414,23037.91046142578,7.152557373046875,11515.378952026367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,120.33333333333333,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.5,66.0,0,2,1,295,66
49.142.91.110,172.31.41.155,9000,5000,6,2022-12-11 10:25:48,11.444091796875,12932437.333333334,174762.66666666666,87381.33333333333,87381.33333333333,1,1,74,74,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,64240,65160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0,1,1,74,74
49.142.91.110,172.31.41.155,9006,5000,6,2022-12-11 10:25:48,11.920928955078125,12415139.84,167772.16,83886.08,83886.08,1,1,74,74,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,74,74,74.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,74.0,64240,65160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0,1,1,74,74
49.142.91.110,172.31.41.155,9002,5000,6,2022-12-11 10:25:48,22.172927856445312,13484912.860215053,90200.08602150538,45100.04301075269,45100.04301075269,1,1,233,66,233.0,233.0,233.0,0.0,66.0,66.0,66.0,0.0,233,66,149.5,83.5,6972.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,149.5,502,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,66.0,0,1,1,233,66
49.142.91.110,172.31.41.155,9010,5000,6,2022-12-11 10:25:48,40.29273986816406,5435222.343195266,74455.10059171598,49636.73372781065,24818.366863905325,2,1,153,66,87.0,66.0,76.5,10.5,66.0,66.0,66.0,0.0,87,66,73.0,9.899494936611665,98.0,40,20,20,1,20.14636993408203,35.762786865234375,4.5299530029296875,15.616416931152344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,73.0,502,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,66.0,0,2,1,153,66
49.142.91.110,172.31.41.155,9012,5000,6,2022-12-11 10:25:48,11508.22639465332,18595.39364809712,260.68308852472603,173.7887256831507,86.89436284157534,2,1,140,74,74.0,66.0,70.0,4.0,74.0,74.0,74.0,0.0,74,66,71.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,0,5754.11319732666,11486.76872253418,21.457672119140625,5732.6555252075195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,71.33333333333333,64240,65160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,74.0,0,2,1,140,74
49.142.91.110,172.31.41.155,9016,5000,6,2022-12-11 10:25:48,22243.738174438477,23332.409144988585,224.78236170509234,179.82588936407387,44.95647234101847,4,1,453,66,227.0,66.0,113.25,66.05821296402137,66.0,66.0,66.0,0.0,227,66,103.8,62.03353931543806,3848.16,80,20,20,2,5560.934543609619,11148.452758789062,0.0,5550.510991408853,22243.738174438477,11169.43359375,0.0,7414.579391479492,5243.043203248524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.25,103.8,64240,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.25,66.0,0,4,1,453,66
49.142.91.110,172.31.41.155,9018,5000,6,2022-12-11 10:25:48,22849.082946777344,13217.160649442798,87.530865228098,87.530865228098,0.0,2,0,302,0,228.0,74.0,151.0,77.0,0.0,0.0,0.0,0.0,228,74,151.0,77.0,5929.0,40,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,151.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0,2,0,302,0
